Status,Year,County,Sex,Race,OffenseCat,Imprisonments,Arrests,Population18-69,CostPerInmate
Adult prisoners,2017,Alameda,Female,Asian/other,Drug,0.0,15,188249,98731
Adult prisoners,2017,Alpine,Female,Asian/other,Drug,0.0,0,79,98731
Adult prisoners,2017,Amador,Female,Asian/other,Drug,0.0,6,666,98731
Adult prisoners,2017,Butte,Female,Asian/other,Drug,0.0,2,7269,98731
Adult prisoners,2017,Calaveras,Female,Asian/other,Drug,0.0,8,880,98731
Adult prisoners,2017,Colusa,Female,Asian/other,Drug,0.0,0,340,98731
Adult prisoners,2017,Contra Costa,Female,Asian/other,Drug,0.0,8,79809,98731
Adult prisoners,2017,Del Norte,Female,Asian/other,Drug,1.0,3,1204,98731
Adult prisoners,2017,El Dorado,Female,Asian/other,Drug,0.0,1,4944,98731
Adult prisoners,2017,Fresno,Female,Asian/other,Drug,1.0,1,39274,98731
Adult prisoners,2017,Glenn,Female,Asian/other,Drug,0.0,0,586,98731
Adult prisoners,2017,Humboldt,Female,Asian/other,Drug,0.0,8,5530,98731
Adult prisoners,2017,Imperial,Female,Asian/other,Drug,0.0,2,1666,98731
Adult prisoners,2017,Inyo,Female,Asian/other,Drug,0.0,1,897,98731
Adult prisoners,2017,Kern,Female,Asian/other,Drug,0.0,6,20194,98731
Adult prisoners,2017,Kings,Female,Asian/other,Drug,0.0,3,3204,98731
Adult prisoners,2017,Lake,Female,Asian/other,Drug,0.0,4,1528,98731
Adult prisoners,2017,Lassen,Female,Asian/other,Drug,0.0,0,608,98731
Adult prisoners,2017,Los Angeles,Female,Asian/other,Drug,4.0,44,597863,98731
Adult prisoners,2017,Madera,Female,Asian/other,Drug,2.0,0,2418,98731
Adult prisoners,2017,Marin,Female,Asian/other,Drug,0.0,1,8899,98731
Adult prisoners,2017,Mariposa,Female,Asian/other,Drug,0.0,0,426,98731
Adult prisoners,2017,Mendocino,Female,Asian/other,Drug,0.0,1,2743,98731
Adult prisoners,2017,Merced,Female,Asian/other,Drug,0.0,1,8662,98731
Adult prisoners,2017,Modoc,Female,Asian/other,Drug,0.0,1,215,98731
Adult prisoners,2017,Mono,Female,Asian/other,Drug,0.0,0,251,98731
Adult prisoners,2017,Monterey,Female,Asian/other,Drug,0.0,3,13105,98731
Adult prisoners,2017,Napa,Female,Asian/other,Drug,0.0,2,4955,98731
Adult prisoners,2017,Nevada,Female,Asian/other,Drug,0.0,1,1698,98731
Adult prisoners,2017,Orange,Female,Asian/other,Drug,1.0,32,239111,98731
Adult prisoners,2017,Placer,Female,Asian/other,Drug,0.0,3,13781,98731
Adult prisoners,2017,Plumas,Female,Asian/other,Drug,0.0,3,427,98731
Adult prisoners,2017,Riverside,Female,Asian/other,Drug,1.0,7,74555,98731
