County,Years,Variable,Value
Alameda ,2017,Percent of population in poverty,0.092
Alpine ,2017,Percent of population in poverty,0.123
Amador ,2017,Percent of population in poverty,0.078
Butte ,2017,Percent of population in poverty,0.183
Calaveras ,2017,Percent of population in poverty,0.134
Colusa ,2017,Percent of population in poverty,0.108
Contra Costa ,2017,Percent of population in poverty,0.083
Del Norte ,2017,Percent of population in poverty,0.116
El Dorado ,2017,Percent of population in poverty,0.083
Fresno ,2017,Percent of population in poverty,0.187
Glenn ,2017,Percent of population in poverty,0.124
Humboldt ,2017,Percent of population in poverty,0.189
Imperial ,2017,Percent of population in poverty,0.196
Inyo ,2017,Percent of population in poverty,0.105
Kern ,2017,Percent of population in poverty,0.190
Kings ,2017,Percent of population in poverty,0.168
Lake ,2017,Percent of population in poverty,0.167
Lassen ,2017,Percent of population in poverty,0.137
Los Angeles ,2017,Percent of population in poverty,0.136
Madera ,2017,Percent of population in poverty,0.199
Marin ,2017,Percent of population in poverty,0.078
Mariposa ,2017,Percent of population in poverty,0.139
Mendocino ,2017,Percent of population in poverty,0.152
Merced ,2017,Percent of population in poverty,0.184
Modoc ,2017,Percent of population in poverty,0.203
Mono ,2017,Percent of population in poverty,0.110
Monterey ,2017,Percent of population in poverty,0.126
Napa ,2017,Percent of population in poverty,0.084
Nevada ,2017,Percent of population in poverty,0.106
Orange ,2017,Percent of population in poverty,0.095
Placer ,2017,Percent of population in poverty,0.067
Plumas ,2017,Percent of population in poverty,0.107
Riverside ,2017,Percent of population in poverty,0.111
Sacramento ,2017,Percent of population in poverty,0.126
San Benito ,2017,Percent of population in poverty,0.078
San Bernardino ,2017,Percent of population in poverty,0.136
San Diego ,2017,Percent of population in poverty,0.104
San Francisco ,2017,Percent of population in poverty,0.106
San Joaquin ,2017,Percent of population in poverty,0.126
San Luis Obispo ,2017,Percent of population in poverty,0.128
San Mateo ,2017,Percent of population in poverty,0.065
Santa Barbara ,2017,Percent of population in poverty,0.138
Santa Clara ,2017,Percent of population in poverty,0.069
Santa Cruz ,2017,Percent of population in poverty,0.112
Shasta ,2017,Percent of population in poverty,0.130
Sierra ,2017,Percent of population in poverty,0.123
Siskiyou ,2017,Percent of population in poverty,0.166
Solano ,2017,Percent of population in poverty,0.097
Sonoma ,2017,Percent of population in poverty,0.086
Stanislaus ,2017,Percent of population in poverty,0.131
Sutter ,2017,Percent of population in poverty,0.148
Tehama ,2017,Percent of population in poverty,0.154
Trinity ,2017,Percent of population in poverty,0.180
Tulare ,2017,Percent of population in poverty,0.178
Tuolumne ,2017,Percent of population in poverty,0.107
Ventura ,2017,Percent of population in poverty,0.090
Yolo ,2017,Percent of population in poverty,0.163
Yuba ,2017,Percent of population in poverty,0.153
Alameda ,2017,Percent of adults with high school diploma or less,0.284
Alpine ,2017,Percent of adults with high school diploma or less,0.264
Amador ,2017,Percent of adults with high school diploma or less,0.362
Butte ,2017,Percent of adults with high school diploma or less,0.323
Calaveras ,2017,Percent of adults with high school diploma or less,0.398
Colusa ,2017,Percent of adults with high school diploma or less,0.564
Contra Costa ,2017,Percent of adults with high school diploma or less,0.299
Del Norte ,2017,Percent of adults with high school diploma or less,0.415
El Dorado ,2017,Percent of adults with high school diploma or less,0.274
Fresno ,2017,Percent of adults with high school diploma or less,0.448
Glenn ,2017,Percent of adults with high school diploma or less,0.516
Humboldt ,2017,Percent of adults with high school diploma or less,0.326
Imperial ,2017,Percent of adults with high school diploma or less,0.532
Inyo ,2017,Percent of adults with high school diploma or less,0.363
Kern ,2017,Percent of adults with high school diploma or less,0.512
Kings ,2017,Percent of adults with high school diploma or less,0.549
Lake ,2017,Percent of adults with high school diploma or less,0.428
Lassen ,2017,Percent of adults with high school diploma or less,0.524
Los Angeles ,2017,Percent of adults with high school diploma or less,0.398
Madera ,2017,Percent of adults with high school diploma or less,0.512
Marin ,2017,Percent of adults with high school diploma or less,0.201
Mariposa ,2017,Percent of adults with high school diploma or less,0.333
Mendocino ,2017,Percent of adults with high school diploma or less,0.410
Merced ,2017,Percent of adults with high school diploma or less,0.551
Modoc ,2017,Percent of adults with high school diploma or less,0.424
Mono ,2017,Percent of adults with high school diploma or less,0.300
Monterey ,2017,Percent of adults with high school diploma or less,0.471
Napa ,2017,Percent of adults with high school diploma or less,0.343
Nevada ,2017,Percent of adults with high school diploma or less,0.277
Orange ,2017,Percent of adults with high school diploma or less,0.314
Placer ,2017,Percent of adults with high school diploma or less,0.244
Plumas ,2017,Percent of adults with high school diploma or less,0.346
Riverside ,2017,Percent of adults with high school diploma or less,0.440
Sacramento ,2017,Percent of adults with high school diploma or less,0.350
San Benito ,2017,Percent of adults with high school diploma or less,0.442
San Bernardino ,2017,Percent of adults with high school diploma or less,0.463
San Diego ,2017,Percent of adults with high school diploma or less,0.307
San Francisco ,2017,Percent of adults with high school diploma or less,0.229
San Joaquin ,2017,Percent of adults with high school diploma or less,0.482
San Luis Obispo ,2017,Percent of adults with high school diploma or less,0.267
San Mateo ,2017,Percent of adults with high school diploma or less,0.259
Santa Barbara ,2017,Percent of adults with high school diploma or less,0.344
Santa Clara ,2017,Percent of adults with high school diploma or less,0.255
Santa Cruz ,2017,Percent of adults with high school diploma or less,0.284
Shasta ,2017,Percent of adults with high school diploma or less,0.359
Sierra ,2017,Percent of adults with high school diploma or less,0.462
Siskiyou ,2017,Percent of adults with high school diploma or less,0.361
Solano ,2017,Percent of adults with high school diploma or less,0.369
Sonoma ,2017,Percent of adults with high school diploma or less,0.314
Stanislaus ,2017,Percent of adults with high school diploma or less,0.496
Sutter ,2017,Percent of adults with high school diploma or less,0.469
Tehama ,2017,Percent of adults with high school diploma or less,0.447
Trinity ,2017,Percent of adults with high school diploma or less,0.465
Tulare ,2017,Percent of adults with high school diploma or less,0.523
Tuolumne ,2017,Percent of adults with high school diploma or less,0.333
Ventura ,2017,Percent of adults with high school diploma or less,0.352
Yolo ,2017,Percent of adults with high school diploma or less,0.297
Yuba ,2017,Percent of adults with high school diploma or less,0.430
Alameda ,2017,Unemployment rate,0.052
Alpine ,2017,Unemployment rate,0.036
