Year,County,Gender,Race,Offense_category,Arrest_rate,Total_Arrests,Population,Poverty_Rate,Age
2017,Alameda,Female,Asianother,Drug,8.0,15.0,188249,0.09,Adult
2017,Alpine,Female,Asianother,Drug,0.0,0.0,79,1.0,Adult
2017,Amador,Female,Asianother,Drug,900.9,6.0,666,0.07,Adult
2017,Butte,Female,Asianother,Drug,27.5,2.0,7269,0.31,Adult
2017,Calaveras,Female,Asianother,Drug,909.1,8.0,880,0.14,Adult
2017,Colusa,Female,Asianother,Drug,0.0,0.0,340,0.0,Adult
2017,Contra Costa,Female,Asianother,Drug,10.0,8.0,79809,0.07,Adult
2017,Del Norte,Female,Asianother,Drug,249.2,3.0,1204,0.42,Adult
2017,El Dorado,Female,Asianother,Drug,20.2,1.0,4944,0.06,Adult
2017,Fresno,Female,Asianother,Drug,2.5,1.0,39274,0.22,Adult
2017,Glenn,Female,Asianother,Drug,0.0,0.0,586,0.1,Adult
2017,Humboldt,Female,Asianother,Drug,144.7,8.0,5530,0.31,Adult
2017,Imperial,Female,Asianother,Drug,120.0,2.0,1666,0.09,Adult
2017,Inyo,Female,Asianother,Drug,111.5,1.0,897,0.1,Adult
2017,Kern,Female,Asianother,Drug,29.7,6.0,20194,0.12,Adult
2017,Kings,Female,Asianother,Drug,93.6,3.0,3204,0.1,Adult
2017,Lake,Female,Asianother,Drug,261.8,4.0,1528,0.52,Adult
2017,Lassen,Female,Asianother,Drug,0.0,0.0,608,0.0,Adult
2017,Los Angeles,Female,Asianother,Drug,7.4,44.0,597863,0.12,Adult
2017,Madera,Female,Asianother,Drug,0.0,0.0,2418,0.06,Adult
2017,Marin,Female,Asianother,Drug,11.2,1.0,8899,0.09,Adult
2017,Mariposa,Female,Asianother,Drug,0.0,0.0,426,0.0,Adult
2017,Mendocino,Female,Asianother,Drug,36.5,1.0,2743,0.09,Adult
2017,Merced,Female,Asianother,Drug,11.5,1.0,8662,0.2,Adult
2017,Modoc,Female,Asianother,Drug,465.1,1.0,215,1.0,Adult
2017,Mono,Female,Asianother,Drug,0.0,0.0,251,0.01,Adult
2017,Monterey,Female,Asianother,Drug,22.9,3.0,13105,0.12,Adult
2017,Napa,Female,Asianother,Drug,40.4,2.0,4955,0.07,Adult
2017,Nevada,Female,Asianother,Drug,58.9,1.0,1698,0.05,Adult
2017,Orange,Female,Asianother,Drug,13.4,32.0,239111,0.12,Adult
2017,Placer,Female,Asianother,Drug,21.8,3.0,13781,0.07,Adult
2017,Plumas,Female,Asianother,Drug,702.6,3.0,427,0.26,Adult
2017,Riverside,Female,Asianother,Drug,9.4,7.0,74555,0.12,Adult
2017,Sacramento,Female,Asianother,Drug,27.4,29.0,105955,0.16,Adult
2017,San Benito,Female,Asianother,Drug,0.0,0.0,1105,0.03,Adult
2017,San Bernardino,Female,Asianother,Drug,17.8,12.0,67370,0.11,Adult
2017,San Diego,Female,Asianother,Drug,9.9,17.0,171180,0.11,Adult
2017,San Francisco,Female,Asianother,Drug,4.2,5.0,120264,0.11,Adult
2017,San Joaquin,Female,Asianother,Drug,4.3,2.0,46218,0.15,Adult
2017,San Luis Obispo,Female,Asianother,Drug,0.0,0.0,5944,0.15,Adult
2017,San Mateo,Female,Asianother,Drug,2.4,2.0,85078,0.05,Adult
2017,Santa Barbara,Female,Asianother,Drug,40.1,5.0,12463,0.2,Adult
2017,Santa Clara,Female,Asianother,Drug,8.2,20.0,243990,0.07,Adult
2017,Santa Cruz,Female,Asianother,Drug,25.6,2.0,7819,0.21,Adult
2017,Shasta,Female,Asianother,Drug,19.1,1.0,5225,0.21,Adult
2017,Sierra,Female,Asianother,Drug,0.0,0.0,38,,Adult
2017,Siskiyou,Female,Asianother,Drug,74.4,1.0,1344,0.21,Adult
2017,Solano,Female,Asianother,Drug,12.7,4.0,31451,0.06,Adult
2017,Sonoma,Female,Asianother,Drug,7.1,1.0,14032,0.09,Adult
2017,Stanislaus,Female,Asianother,Drug,48.9,8.0,16363,0.18,Adult
