County,Year,Gender,ADPtotrate,Felonyrate,Misdrate,Postdisprate,Predisprate,ADPtotal,Felony,Misd,Postdisp,Predisp,Population,Age
Alameda,2017,Female,38.81,0.0,0.0,8.11,30.7,225.0,0.0,0.0,47.0,178.0,579761,Adult
Alpine,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,Adult
Amador,2017,Female,125.38,0.0,0.0,51.57,73.81,13.64,0.0,0.0,5.61,8.03,10879,Adult
Butte,2017,Female,106.93,0.0,0.0,44.11,62.82,80.0,0.0,0.0,33.0,47.0,74813,Adult
Calaveras,2017,Female,103.9,0.0,0.0,55.41,48.49,15.0,0.0,0.0,8.0,7.0,14437,Adult
Colusa,2017,Female,209.55,0.0,0.0,89.81,119.74,14.0,0.0,0.0,6.0,8.0,6681,Adult
Contra Costa,2017,Female,51.9,0.0,0.0,17.47,34.43,202.0,0.0,0.0,68.0,134.0,389180,Adult
Del Norte,2017,Female,233.83,0.0,0.0,142.89,90.93,18.0,0.0,0.0,11.0,7.0,7698,Adult
El Dorado,2017,Female,110.88,0.0,0.0,57.07,53.81,68.0,0.0,0.0,35.0,33.0,61327,Adult
Fresno,2017,Female,106.76,0.0,0.0,37.06,69.69,337.0,0.0,0.0,117.0,220.0,315665,Adult
Glenn,2017,Female,226.76,0.0,0.0,102.04,124.72,20.0,0.0,0.0,9.0,11.0,8820,Adult
Humboldt,2017,Female,116.83,0.0,0.0,33.07,83.77,53.0,0.0,0.0,15.0,38.0,45364,Adult
Imperial,2017,Female,81.09,0.0,0.0,26.44,54.65,46.0,0.0,0.0,15.0,31.0,56727,Adult
Inyo,2017,Female,169.55,0.0,0.0,50.86,118.68,10.0,0.0,0.0,3.0,7.0,5898,Adult
Kern,2017,Female,93.28,0.0,0.0,28.06,65.23,256.0,0.0,0.0,77.0,179.0,274430,Adult
Kings,2017,Female,199.05,0.0,0.0,49.76,149.29,80.0,0.0,0.0,20.0,60.0,40191,Adult
Lake,2017,Female,251.99,0.0,0.0,140.53,111.46,52.0,0.0,0.0,29.0,23.0,20636,Adult
Lassen,2017,Female,223.56,0.0,0.0,97.81,125.75,16.0,0.0,0.0,7.0,9.0,7157,Adult
Los Angeles,2017,Female,65.14,0.0,0.0,26.57,38.57,2280.0,0.0,0.0,930.0,1350.0,3500413,Adult
Madera,2017,Female,121.48,0.0,0.0,17.35,104.12,63.0,0.0,0.0,9.0,54.0,51862,Adult
Marin,2017,Female,65.88,0.0,0.0,15.29,50.59,56.0,0.0,0.0,13.0,43.0,85003,Adult
Mariposa,2017,Female,171.53,0.0,0.0,68.61,102.92,10.0,0.0,0.0,4.0,6.0,5830,Adult
Mendocino,2017,Female,132.46,0.0,0.0,69.72,62.74,38.0,0.0,0.0,20.0,18.0,28688,Adult
Merced,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85575,Adult
Modoc,2017,Female,202.77,0.0,0.0,67.59,135.18,6.0,0.0,0.0,2.0,4.0,2959,Adult
Mono,2017,Female,65.26,0.0,0.0,0.0,65.26,3.0,0.0,0.0,0.0,3.0,4597,Adult
Monterey,2017,Female,76.13,0.0,0.0,36.96,39.17,103.0,0.0,0.0,50.0,53.0,135294,Adult
Napa,2017,Female,73.37,0.0,0.0,21.58,51.79,34.0,0.0,0.0,10.0,24.0,46343,Adult
Nevada,2017,Female,114.7,0.0,0.0,21.7,93.0,37.0,0.0,0.0,7.0,30.0,32257,Adult
Orange,2017,Female,72.51,0.0,0.0,40.51,32.0,775.0,0.0,0.0,433.0,342.0,1068842,Adult
Placer,2017,Female,74.75,0.0,0.0,44.85,29.9,95.0,0.0,0.0,57.0,38.0,127094,Adult
Plumas,2017,Female,156.21,0.0,0.0,17.05,139.15,9.16,0.0,0.0,1.0,8.16,5864,Adult
Riverside,2017,Female,57.0,0.0,0.0,20.95,36.05,438.0,0.0,0.0,161.0,277.0,768402,Adult
Sacramento,2017,Female,77.97,0.0,0.0,44.61,33.36,402.0,0.0,0.0,230.0,172.0,515581,Adult
San Benito,2017,Female,99.17,0.0,0.0,39.67,59.5,20.0,0.0,0.0,8.0,12.0,20167,Adult
San Bernardino,2017,Female,117.48,0.0,0.0,36.11,81.38,833.0,0.0,0.0,256.0,577.0,709041,Adult
San Diego,2017,Female,83.03,0.0,0.0,44.13,38.91,897.1,0.0,0.0,476.74,420.36,1080407,Adult
San Francisco,2017,Female,33.38,0.0,0.0,5.01,28.37,105.97,0.0,0.0,15.9,90.07,317486,Adult
San Joaquin,2017,Female,65.35,0.0,0.0,19.85,45.5,158.0,0.0,0.0,48.0,110.0,241758,Adult
San Luis Obispo,2017,Female,91.08,0.0,0.0,43.32,47.76,82.0,0.0,0.0,39.0,43.0,90030,Adult
San Mateo,2017,Female,49.81,0.0,0.0,22.22,27.59,130.0,0.0,0.0,58.0,72.0,260986,Adult
Santa Barbara,2017,Female,82.08,0.0,0.0,19.84,62.24,120.0,0.0,0.0,29.0,91.0,146205,Adult
Santa Clara,2017,Female,59.63,0.0,0.0,21.8,37.83,383.0,0.0,0.0,140.0,243.0,642314,Adult
Santa Cruz,2017,Female,49.39,0.0,0.0,20.4,28.99,46.0,0.0,0.0,19.0,27.0,93135,Adult
Shasta,2017,Female,80.28,0.0,0.0,13.67,66.62,47.0,0.0,0.0,8.0,39.0,58543,Adult
Sierra,2017,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,Adult
Siskiyou,2017,Female,92.46,0.0,0.0,7.11,85.35,13.0,0.0,0.0,1.0,12.0,14060,Adult
Solano,2017,Female,82.09,0.0,0.0,24.83,57.26,119.0,0.0,0.0,36.0,83.0,144965,Adult
Sonoma,2017,Female,94.5,0.0,0.0,36.98,57.52,161.0,0.0,0.0,63.0,98.0,170378,Adult
Stanislaus,2017,Female,79.55,0.0,0.0,27.45,52.1,142.0,0.0,0.0,49.0,93.0,178511,Adult
Sutter,2017,Female,91.05,0.0,0.0,69.08,21.98,29.0,0.0,0.0,22.0,7.0,31849,Adult
Tehama,2017,Female,143.26,0.0,0.0,79.04,64.22,29.0,0.0,0.0,16.0,13.0,20243,Adult
Trinity,2017,Female,162.45,0.0,0.0,92.83,69.62,7.0,0.0,0.0,4.0,3.0,4309,Adult
