Year,County,Gender,Race,Population_age_10-17,Poverty_rate_age_12-17
2017,Alameda,Female,Asian/other,25363,0.145812668272637
2017,Alameda,Female,Black,9118,0.3258736971183323
2017,Alameda,Female,Latinx,24387,0.1344266081533664
2017,Alameda,Female,White,17535,0.0556730091613812
2017,Alameda,Male,Asian/other,26713,0.0905649989677241
2017,Alameda,Male,Black,9245,0.2654934965570008
2017,Alameda,Male,Latinx,25793,0.1903598021940544
2017,Alameda,Male,White,18658,0.0564035019756721
2017,Alpine,Female,Asian/other,21,0.0
2017,Alpine,Female,Black,0,0.0
2017,Alpine,Female,Latinx,9,0.5
2017,Alpine,Female,White,37,0.0
2017,Alpine,Male,Asian/other,11,0.0
2017,Alpine,Male,Black,0,0.0
2017,Alpine,Male,Latinx,11,0.631578947368421
2017,Alpine,Male,White,42,0.0
2017,Amador,Female,Asian/other,111,0.0
2017,Amador,Female,Black,4,0.0
2017,Amador,Female,Latinx,246,0.0992063492063492
2017,Amador,Female,White,943,0.1021341463414634
2017,Amador,Male,Asian/other,129,0.0
2017,Amador,Male,Black,8,0.0
2017,Amador,Male,Latinx,290,0.3502824858757062
2017,Amador,Male,White,1047,0.2013422818791946
2017,Butte,Female,Asian/other,1348,0.1207658321060382
2017,Butte,Female,Black,173,0.0253164556962025
2017,Butte,Female,Latinx,2476,0.3025069637883008
2017,Butte,Female,White,6643,0.1737012987012987
2017,Butte,Male,Asian/other,1622,0.2905829596412556
2017,Butte,Male,Black,202,0.2323232323232323
2017,Butte,Male,Latinx,2523,0.2290726817042606
2017,Butte,Male,White,6816,0.1509433962264151
2017,Calaveras,Female,Asian/other,119,0.0
2017,Calaveras,Female,Black,8,0.0
2017,Calaveras,Female,Latinx,326,0.2966507177033493
2017,Calaveras,Female,White,1336,0.2298342541436464
2017,Calaveras,Male,Asian/other,159,0.0
2017,Calaveras,Male,Black,29,0.0
2017,Calaveras,Male,Latinx,347,0.1224489795918367
2017,Calaveras,Male,White,1425,0.1148225469728601
2017,Colusa,Female,Asian/other,61,0.0
2017,Colusa,Female,Black,3,0.0
2017,Colusa,Female,Latinx,919,0.2100954979536153
2017,Colusa,Female,White,324,0.1883408071748878
2017,Colusa,Male,Asian/other,58,0.0
2017,Colusa,Male,Black,16,0.0
2017,Colusa,Male,Latinx,1049,0.2468265162200282
2017,Colusa,Male,White,401,0.0
2017,Contra Cost,Female,Asian/other,12520,0.172528201725282
2017,Contra Cost,Female,Black,5441,0.3427207637231503
2017,Contra Cost,Female,Latinx,19767,0.1746715485677363
2017,Contra Cost,Female,White,20793,0.0394398040570244
2017,Contra Cost,Male,Asian/other,13314,0.0635266640716232
2017,Contra Cost,Male,Black,5700,0.2611200737497119
2017,Contra Cost,Male,Latinx,20757,0.1806270472625175
2017,Contra Cost,Male,White,21892,0.0605824076853797
2017,Del Norte,Female,Asian/other,265,0.0980392156862745
2017,Del Norte,Female,Black,4,0.0
2017,Del Norte,Female,Latinx,297,0.416289592760181
2017,Del Norte,Female,White,664,0.430939226519337
2017,Del Norte,Male,Asian/other,297,0.8939393939393939
2017,Del Norte,Male,Black,13,0.0
2017,Del Norte,Male,Latinx,296,0.2941176470588235
2017,Del Norte,Male,White,761,0.2083333333333333
2017,El Dorado,Female,Asian/other,891,0.0
2017,El Dorado,Female,Black,64,0.3292682926829268
2017,El Dorado,Female,Latinx,1908,0.1827094474153297
2017,El Dorado,Female,White,6627,0.127457066004552
2017,El Dorado,Male,Asian/other,1055,0.0
2017,El Dorado,Male,Black,72,0.0
2017,El Dorado,Male,Latinx,2184,0.1725021349274124
2017,El Dorado,Male,White,7223,0.0569187449718423
2017,Fresno,Female,Asian/other,7536,0.3700247049135328
2017,Fresno,Female,Black,2807,0.4802816901408451
2017,Fresno,Female,Latinx,37579,0.370602483755623
2017,Fresno,Female,White,11996,0.1567866384380145
2017,Fresno,Male,Asian/other,8020,0.29497789366285
2017,Fresno,Male,Black,3125,0.3879518072289156
2017,Fresno,Male,Latinx,39603,0.356178892343435
2017,Fresno,Male,White,12544,0.1230099644943305
2017,Glenn,Female,Asian/other,117,0.3333333333333333
2017,Glenn,Female,Black,11,0.0
2017,Glenn,Female,Latinx,826,0.3174366616989568
2017,Glenn,Female,White,702,0.0824524312896406
2017,Glenn,Male,Asian/other,138,0.0459770114942528
2017,Glenn,Male,Black,8,1.0
2017,Glenn,Male,Latinx,867,0.3938506588579795
2017,Glenn,Male,White,739,0.1129032258064516
2017,Humboldt,Female,Asian/other,1193,0.3098958333333333
2017,Humboldt,Female,Black,64,0.9156626506024096
2017,Humboldt,Female,Latinx,1028,0.2056338028169014
2017,Humboldt,Female,White,3923,0.1597678916827853
2017,Humboldt,Male,Asian/other,1171,0.5
2017,Humboldt,Male,Black,72,1.0
2017,Humboldt,Male,Latinx,1133,0.3112033195020747
2017,Humboldt,Male,White,4064,0.152317880794702
2017,Imperial,Female,Asian/other,340,0.5
2017,Imperial,Female,Black,103,0.4137931034482758
2017,Imperial,Female,Latinx,9821,0.2796043466146559
2017,Imperial,Female,White,894,0.1686507936507936
2017,Imperial,Male,Asian/other,311,0.1210526315789473
2017,Imperial,Male,Black,113,0.3178807947019867
2017,Imperial,Male,Latinx,10297,0.3124838792881094
2017,Imperial,Male,White,926,0.1833333333333333
2017,Inyo,Female,Asian/other,143,0.0
2017,Inyo,Female,Black,4,0.0
2017,Inyo,Female,Latinx,306,0.0638297872340425
2017,Inyo,Female,White,338,0.1237113402061855
2017,Inyo,Male,Asian/other,164,0.375
2017,Inyo,Male,Black,1,0.0
2017,Inyo,Male,Latinx,328,0.0769230769230769
2017,Inyo,Male,White,435,0.0125523012552301
2017,Kern,Female,Asian/other,3467,0.3743589743589743
2017,Kern,Female,Black,2797,0.4480728051391863
2017,Kern,Female,Latinx,33925,0.321724899139834
2017,Kern,Female,White,14316,0.153103448275862
2017,Kern,Male,Asian/other,3663,0.1909909909909909
2017,Kern,Male,Black,2866,0.3759398496240601
2017,Kern,Male,Latinx,35914,0.3067907483840822
2017,Kern,Male,White,15345,0.1613403060236296
2017,Kings,Female,Asian/other,749,0.5
2017,Kings,Female,Black,434,0.2338308457711442
2017,Kings,Female,Latinx,6168,0.306047367210853
2017,Kings,Female,White,2536,0.2575452716297787
2017,Kings,Male,Asian/other,761,0.068
2017,Kings,Male,Black,475,0.1205479452054794
2017,Kings,Male,Latinx,6587,0.3464036564830406
2017,Kings,Male,White,2670,0.1517967781908302
2017,Lake,Female,Asian/other,316,0.4513274336283185
2017,Lake,Female,Black,31,0.2781954887218045
2017,Lake,Female,Latinx,896,0.3387622149837133
2017,Lake,Female,White,1655,0.1697792869269949
2017,Lake,Male,Asian/other,274,0.8360655737704918
2017,Lake,Male,Black,41,0.3333333333333333
2017,Lake,Male,Latinx,961,0.3257918552036199
2017,Lake,Male,White,1809,0.2649572649572649
2017,Lassen,Female,Asian/other,110,0.0
2017,Lassen,Female,Black,12,0.0
2017,Lassen,Female,Latinx,167,0.2110552763819095
2017,Lassen,Female,White,694,0.1275964391691394
2017,Lassen,Male,Asian/other,104,0.0
2017,Lassen,Male,Black,35,0.0
2017,Lassen,Male,Latinx,208,0.3762376237623762
2017,Lassen,Male,White,879,0.1420612813370473
2017,Los Angeles,Female,Asian/other,63772,0.2080239047326097
2017,Los Angeles,Female,Black,38831,0.2908054890589703
2017,Los Angeles,Female,Latinx,312972,0.2910127711663872
2017,Los Angeles,Female,White,85898,0.1009459716843375
2017,Los Angeles,Male,Asian/other,67416,0.1293704988992126
2017,Los Angeles,Male,Black,40843,0.2786433528371207
2017,Los Angeles,Male,Latinx,327269,0.2787632031236964
2017,Los Angeles,Male,White,92014,0.0973427167384578
2017,Madera,Female,Asian/other,393,0.0
2017,Madera,Female,Black,173,1.0
2017,Madera,Female,Latinx,6552,0.3509688656651426
2017,Madera,Female,White,2201,0.08375
2017,Madera,Male,Asian/other,403,0.0418118466898954
2017,Madera,Male,Black,171,0.1333333333333333
2017,Madera,Male,Latinx,6883,0.3283041641520821
2017,Madera,Male,White,2221,0.1359167148640833
2017,Marin,Female,Asian/other,1577,0.0
2017,Marin,Female,Black,261,0.2071428571428571
2017,Marin,Female,Latinx,2812,0.2939685757729346
2017,Marin,Female,White,8487,0.033480625424881
2017,Marin,Male,Asian/other,1604,0.0
2017,Marin,Male,Black,411,0.1542857142857142
2017,Marin,Male,Latinx,2790,0.2573795960642154
2017,Marin,Male,White,8770,0.0123959925284428
2017,Mariposa,Female,Asian/other,44,0.0
2017,Mariposa,Female,Black,4,1.0
2017,Mariposa,Female,Latinx,105,0.3860759493670886
2017,Mariposa,Female,White,491,0.1671641791044776
2017,Mariposa,Male,Asian/other,82,0.0
2017,Mariposa,Male,Black,2,0.0
2017,Mariposa,Male,Latinx,119,0.7317073170731707
2017,Mariposa,Male,White,494,0.2516556291390728
2017,Mendocino,Female,Asian/other,501,0.5
2017,Mendocino,Female,Black,25,1.0
2017,Mendocino,Female,Latinx,1580,0.3882235528942115
