Index,County,Year,Sex,Sentencing status,Offense_Category,Jail_ADP
0,Alameda,2017,Female,Unsentenced,Felony,166
1,Alpine,2017,Female,Unsentenced,Felony,0
2,Amador,2017,Female,Unsentenced,Felony,7
3,Butte,2017,Female,Unsentenced,Felony,41
4,Calaveras,2017,Female,Unsentenced,Felony,6
5,Colusa,2017,Female,Unsentenced,Felony,4
6,Contra Costa,2017,Female,Unsentenced,Felony,110
7,Del Norte,2017,Female,Unsentenced,Felony,4
8,El Dorado,2017,Female,Unsentenced,Felony,28
9,Fresno,2017,Female,Unsentenced,Felony,201
10,Glenn,2017,Female,Unsentenced,Felony,8
11,Humboldt,2017,Female,Unsentenced,Felony,34
12,Imperial,2017,Female,Unsentenced,Felony,27
13,Inyo,2017,Female,Unsentenced,Felony,5
14,Kern,2017,Female,Unsentenced,Felony,152
15,Kings,2017,Female,Unsentenced,Felony,47
16,Lake,2017,Female,Unsentenced,Felony,18
17,Lassen,2017,Female,Unsentenced,Felony,7
18,Los Angeles,2017,Female,Unsentenced,Felony,1192
19,Madera,2017,Female,Unsentenced,Felony,44
20,Marin,2017,Female,Unsentenced,Felony,35
21,Mariposa,2017,Female,Unsentenced,Felony,4
22,Mendocino,2017,Female,Unsentenced,Felony,6
23,Merced,2017,Female,Unsentenced,Felony,74
24,Modoc,2017,Female,Unsentenced,Felony,4
25,Mono,2017,Female,Unsentenced,Felony,2
26,Monterey,2017,Female,Unsentenced,Felony,49
27,Napa,2017,Female,Unsentenced,Felony,20
28,Nevada,2017,Female,Unsentenced,Felony,26
29,Orange,2017,Female,Unsentenced,Felony,260
30,Placer,2017,Female,Unsentenced,Felony,25
31,Plumas,2017,Female,Unsentenced,Felony,6
32,Riverside,2017,Female,Unsentenced,Felony,257
33,Sacramento,2017,Female,Unsentenced,Felony,148
34,San Benito,2017,Female,Unsentenced,Felony,9
35,San Bernardino,2017,Female,Unsentenced,Felony,425
36,San Diego,2017,Female,Unsentenced,Felony,367
37,San Francisco,2017,Female,Unsentenced,Felony,1
38,San Joaquin,2017,Female,Unsentenced,Felony,81
39,San Luis Obispo,2017,Female,Unsentenced,Felony,70
40,San Mateo,2017,Female,Unsentenced,Felony,38
41,Santa Barbara,2017,Female,Unsentenced,Felony,0
42,Santa Clara,2017,Female,Unsentenced,Felony,76
43,Santa Cruz,2017,Female,Unsentenced,Felony,81
44,Shasta,2017,Female,Unsentenced,Felony,24
45,Sierra,2017,Female,Unsentenced,Felony,0
46,Siskiyou,2017,Female,Unsentenced,Felony,12
47,Solano,2017,Female,Unsentenced,Felony,74
48,Sonoma,2017,Female,Unsentenced,Felony,70
49,Stanislaus,2017,Female,Unsentenced,Felony,83
50,Sutter,2017,Female,Unsentenced,Felony,6
51,Tehama,2017,Female,Unsentenced,Felony,0
52,Trinity,2017,Female,Unsentenced,Felony,0
53,Tulare,2017,Female,Unsentenced,Felony,104
54,Tuolumne,2017,Female,Unsentenced,Felony,24
55,Ventura,2017,Female,Unsentenced,Felony,106
56,Yolo,2017,Female,Unsentenced,Felony,25
57,Yuba,2017,Female,Unsentenced,Felony,28
58,Alameda,2018,Female,Unsentenced,Felony,171
59,Alpine,2018,Female,Unsentenced,Felony,0
60,Amador,2018,Female,Unsentenced,Felony,9
61,Butte,2018,Female,Unsentenced,Felony,51
62,Calaveras,2018,Female,Unsentenced,Felony,6
63,Colusa,2018,Female,Unsentenced,Felony,3
64,Contra Costa,2018,Female,Unsentenced,Felony,124
65,Del Norte,2018,Female,Unsentenced,Felony,6
66,El Dorado,2018,Female,Unsentenced,Felony,16
67,Fresno,2018,Female,Unsentenced,Felony,207
68,Glenn,2018,Female,Unsentenced,Felony,10
69,Humboldt,2018,Female,Unsentenced,Felony,37
70,Imperial,2018,Female,Unsentenced,Felony,52
71,Inyo,2018,Female,Unsentenced,Felony,4
72,Kern,2018,Female,Unsentenced,Felony,177
73,Kings,2018,Female,Unsentenced,Felony,35
74,Lake,2018,Female,Unsentenced,Felony,14
75,Lassen,2018,Female,Unsentenced,Felony,12
76,Los Angeles,2018,Female,Unsentenced,Felony,1091
77,Madera,2018,Female,Unsentenced,Felony,39
78,Marin,2018,Female,Unsentenced,Felony,21
79,Mariposa,2018,Female,Unsentenced,Felony,3
80,Mendocino,2018,Female,Unsentenced,Felony,8
81,Merced,2018,Female,Unsentenced,Felony,61
82,Modoc,2018,Female,Unsentenced,Felony,4
83,Mono,2018,Female,Unsentenced,Felony,1
84,Monterey,2018,Female,Unsentenced,Felony,61
85,Napa,2018,Female,Unsentenced,Felony,9
86,Nevada,2018,Female,Unsentenced,Felony,19
87,Orange,2018,Female,Unsentenced,Felony,230
88,Placer,2018,Female,Unsentenced,Felony,26
89,Plumas,2018,Female,Unsentenced,Felony,5
90,Riverside,2018,Female,Unsentenced,Felony,272
91,Sacramento,2018,Female,Unsentenced,Felony,191
92,San Benito,2018,Female,Unsentenced,Felony,5
93,San Bernardino,2018,Female,Unsentenced,Felony,413
94,San Diego,2018,Female,Unsentenced,Felony,390
95,San Francisco,2018,Female,Unsentenced,Felony,121
96,San Joaquin,2018,Female,Unsentenced,Felony,104
97,San Luis Obispo,2018,Female,Unsentenced,Felony,21
98,San Mateo,2018,Female,Unsentenced,Felony,58
99,Santa Barbara,2018,Female,Unsentenced,Felony,79
100,Santa Clara,2018,Female,Unsentenced,Felony,229
101,Santa Cruz,2018,Female,Unsentenced,Felony,6
102,Shasta,2018,Female,Unsentenced,Felony,40
103,Sierra,2018,Female,Unsentenced,Felony,0
104,Siskiyou,2018,Female,Unsentenced,Felony,8
105,Solano,2018,Female,Unsentenced,Felony,62
106,Sonoma,2018,Female,Unsentenced,Felony,69
107,Stanislaus,2018,Female,Unsentenced,Felony,105
108,Sutter,2018,Female,Unsentenced,Felony,11
109,Tehama,2018,Female,Unsentenced,Felony,0
110,Trinity,2018,Female,Unsentenced,Felony,9
111,Tulare,2018,Female,Unsentenced,Felony,90
112,Tuolumne,2018,Female,Unsentenced,Felony,17
113,Ventura,2018,Female,Unsentenced,Felony,0
114,Yolo,2018,Female,Unsentenced,Felony,26
115,Yuba,2018,Female,Unsentenced,Felony,26
116,Alameda,2019,Female,Unsentenced,Felony,161
117,Alpine,2019,Female,Unsentenced,Felony,0
118,Amador,2019,Female,Unsentenced,Felony,6
119,Butte,2019,Female,Unsentenced,Felony,41
120,Calaveras,2019,Female,Unsentenced,Felony,9
121,Colusa,2019,Female,Unsentenced,Felony,3
122,Contra Costa,2019,Female,Unsentenced,Felony,115
123,Del Norte,2019,Female,Unsentenced,Felony,9
124,El Dorado,2019,Female,Unsentenced,Felony,29
125,Fresno,2019,Female,Unsentenced,Felony,185
126,Glenn,2019,Female,Unsentenced,Felony,10
127,Humboldt,2019,Female,Unsentenced,Felony,38
128,Imperial,2019,Female,Unsentenced,Felony,36
129,Inyo,2019,Female,Unsentenced,Felony,1
130,Kern,2019,Female,Unsentenced,Felony,178
131,Kings,2019,Female,Unsentenced,Felony,43
132,Lake,2019,Female,Unsentenced,Felony,20
133,Lassen,2019,Female,Unsentenced,Felony,8
134,Los Angeles,2019,Female,Unsentenced,Felony,1190
135,Madera,2019,Female,Unsentenced,Felony,46
136,Marin,2019,Female,Unsentenced,Felony,21
