,Year,County,Gender,Race,Offense_Category,Count,Age
0,2017,Alameda,Female,Black,Violent,53.0,Juvenile
1,2017,Alpine,Female,Black,Violent,0.0,Juvenile
2,2017,Amador,Female,Black,Violent,0.0,Juvenile
3,2017,Butte,Female,Black,Violent,0.0,Juvenile
4,2017,Calaveras,Female,Black,Violent,0.0,Juvenile
5,2017,Colusa,Female,Black,Violent,0.0,Juvenile
6,2017,Contra Cost,Female,Black,Violent,31.0,Juvenile
7,2017,Del Norte,Female,Black,Violent,0.0,Juvenile
8,2017,El Dorado,Female,Black,Violent,0.0,Juvenile
9,2017,Fresno,Female,Black,Violent,18.0,Juvenile
10,2017,Glenn,Female,Black,Violent,0.0,Juvenile
11,2017,Humboldt,Female,Black,Violent,0.0,Juvenile
12,2017,Imperial,Female,Black,Violent,0.0,Juvenile
13,2017,Inyo,Female,Black,Violent,0.0,Juvenile
14,2017,Kern,Female,Black,Violent,16.0,Juvenile
15,2017,Kings,Female,Black,Violent,3.0,Juvenile
16,2017,Lake,Female,Black,Violent,0.0,Juvenile
17,2017,Lassen,Female,Black,Violent,0.0,Juvenile
18,2017,Los Angeles,Female,Black,Violent,152.0,Juvenile
19,2017,Madera,Female,Black,Violent,0.0,Juvenile
20,2017,Marin,Female,Black,Violent,3.0,Juvenile
21,2017,Mariposa,Female,Black,Violent,0.0,Juvenile
22,2017,Mendocino,Female,Black,Violent,0.0,Juvenile
23,2017,Merced,Female,Black,Violent,3.0,Juvenile
24,2017,Modoc,Female,Black,Violent,0.0,Juvenile
25,2017,Mono,Female,Black,Violent,0.0,Juvenile
26,2017,Monterey,Female,Black,Violent,0.0,Juvenile
27,2017,Napa,Female,Black,Violent,1.0,Juvenile
28,2017,Nevada,Female,Black,Violent,3.0,Juvenile
29,2017,Orange,Female,Black,Violent,10.0,Juvenile
30,2017,Placer,Female,Black,Violent,2.0,Juvenile
31,2017,Plumas,Female,Black,Violent,0.0,Juvenile
32,2017,Riverside,Female,Black,Violent,11.0,Juvenile
33,2017,Sacramento,Female,Black,Violent,46.0,Juvenile
34,2017,San Benito,Female,Black,Violent,0.0,Juvenile
35,2017,San Bernard,Female,Black,Violent,54.0,Juvenile
36,2017,San Diego,Female,Black,Violent,24.0,Juvenile
37,2017,San Francis,Female,Black,Violent,8.358208955223882,Juvenile
38,2017,San Joaquin,Female,Black,Violent,22.0,Juvenile
39,2017,San Luis Ob,Female,Black,Violent,0.0,Juvenile
40,2017,San Mateo,Female,Black,Violent,5.0,Juvenile
41,2017,Santa Barba,Female,Black,Violent,2.0,Juvenile
42,2017,Santa Clara,Female,Black,Violent,5.0,Juvenile
43,2017,Santa Cruz,Female,Black,Violent,1.0,Juvenile
44,2017,Shasta,Female,Black,Violent,1.0,Juvenile
45,2017,Sierra,Female,Black,Violent,0.0,Juvenile
46,2017,Siskiyou,Female,Black,Violent,1.0,Juvenile
47,2017,Solano,Female,Black,Violent,17.0,Juvenile
48,2017,Sonoma,Female,Black,Violent,2.0,Juvenile
49,2017,Stanislaus,Female,Black,Violent,3.0,Juvenile
50,2017,Sutter,Female,Black,Violent,1.0,Juvenile
51,2017,Tehama,Female,Black,Violent,0.0,Juvenile
52,2017,Trinity,Female,Black,Violent,0.0,Juvenile
53,2017,Tulare,Female,Black,Violent,3.0,Juvenile
54,2017,Tuolumne,Female,Black,Violent,0.0,Juvenile
55,2017,Ventura,Female,Black,Violent,5.0,Juvenile
56,2017,Yolo,Female,Black,Violent,5.0,Juvenile
57,2017,Yuba,Female,Black,Violent,0.0,Juvenile
58,2017,Alameda,Female,Latinx,Violent,8.0,Juvenile
59,2017,Alpine,Female,Latinx,Violent,0.0,Juvenile
60,2017,Amador,Female,Latinx,Violent,0.0,Juvenile
61,2017,Butte,Female,Latinx,Violent,2.0,Juvenile
62,2017,Calaveras,Female,Latinx,Violent,0.0,Juvenile
63,2017,Colusa,Female,Latinx,Violent,0.0,Juvenile
64,2017,Contra Cost,Female,Latinx,Violent,5.0,Juvenile
65,2017,Del Norte,Female,Latinx,Violent,0.0,Juvenile
66,2017,El Dorado,Female,Latinx,Violent,3.0,Juvenile
67,2017,Fresno,Female,Latinx,Violent,32.0,Juvenile
68,2017,Glenn,Female,Latinx,Violent,1.0,Juvenile
69,2017,Humboldt,Female,Latinx,Violent,1.0,Juvenile
70,2017,Imperial,Female,Latinx,Violent,3.0,Juvenile
71,2017,Inyo,Female,Latinx,Violent,0.0,Juvenile
72,2017,Kern,Female,Latinx,Violent,9.0,Juvenile
73,2017,Kings,Female,Latinx,Violent,7.0,Juvenile
74,2017,Lake,Female,Latinx,Violent,1.0,Juvenile
75,2017,Lassen,Female,Latinx,Violent,0.0,Juvenile
76,2017,Los Angeles,Female,Latinx,Violent,171.0,Juvenile
77,2017,Madera,Female,Latinx,Violent,1.0,Juvenile
78,2017,Marin,Female,Latinx,Violent,6.0,Juvenile
79,2017,Mariposa,Female,Latinx,Violent,0.0,Juvenile
80,2017,Mendocino,Female,Latinx,Violent,0.0,Juvenile
81,2017,Merced,Female,Latinx,Violent,10.0,Juvenile
82,2017,Modoc,Female,Latinx,Violent,0.0,Juvenile
83,2017,Mono,Female,Latinx,Violent,0.0,Juvenile
84,2017,Monterey,Female,Latinx,Violent,13.0,Juvenile
85,2017,Napa,Female,Latinx,Violent,1.0,Juvenile
86,2017,Nevada,Female,Latinx,Violent,1.0,Juvenile
87,2017,Orange,Female,Latinx,Violent,43.0,Juvenile
88,2017,Placer,Female,Latinx,Violent,2.0,Juvenile
89,2017,Plumas,Female,Latinx,Violent,0.0,Juvenile
90,2017,Riverside,Female,Latinx,Violent,14.0,Juvenile
91,2017,Sacramento,Female,Latinx,Violent,5.0,Juvenile
92,2017,San Benito,Female,Latinx,Violent,0.0,Juvenile
93,2017,San Bernard,Female,Latinx,Violent,58.0,Juvenile
94,2017,San Diego,Female,Latinx,Violent,61.0,Juvenile
95,2017,San Francis,Female,Latinx,Violent,1.462686567164179,Juvenile
96,2017,San Joaquin,Female,Latinx,Violent,14.0,Juvenile
97,2017,San Luis Ob,Female,Latinx,Violent,2.0,Juvenile
98,2017,San Mateo,Female,Latinx,Violent,8.0,Juvenile
99,2017,Santa Barba,Female,Latinx,Violent,13.0,Juvenile
100,2017,Santa Clara,Female,Latinx,Violent,45.0,Juvenile
101,2017,Santa Cruz,Female,Latinx,Violent,5.0,Juvenile
102,2017,Shasta,Female,Latinx,Violent,0.0,Juvenile
103,2017,Sierra,Female,Latinx,Violent,0.0,Juvenile
104,2017,Siskiyou,Female,Latinx,Violent,1.0,Juvenile
105,2017,Solano,Female,Latinx,Violent,1.0,Juvenile
106,2017,Sonoma,Female,Latinx,Violent,8.0,Juvenile
107,2017,Stanislaus,Female,Latinx,Violent,21.0,Juvenile
108,2017,Sutter,Female,Latinx,Violent,3.0,Juvenile
109,2017,Tehama,Female,Latinx,Violent,0.0,Juvenile
110,2017,Trinity,Female,Latinx,Violent,0.0,Juvenile
111,2017,Tulare,Female,Latinx,Violent,13.0,Juvenile
112,2017,Tuolumne,Female,Latinx,Violent,0.0,Juvenile
113,2017,Ventura,Female,Latinx,Violent,17.0,Juvenile
114,2017,Yolo,Female,Latinx,Violent,4.0,Juvenile
115,2017,Yuba,Female,Latinx,Violent,2.0,Juvenile
116,2017,Alameda,Female,Asian/other,Violent,6.0,Juvenile
117,2017,Alpine,Female,Asian/other,Violent,0.0,Juvenile
118,2017,Amador,Female,Asian/other,Violent,0.0,Juvenile
119,2017,Butte,Female,Asian/other,Violent,0.0,Juvenile
120,2017,Calaveras,Female,Asian/other,Violent,1.0,Juvenile
121,2017,Colusa,Female,Asian/other,Violent,0.0,Juvenile
122,2017,Contra Cost,Female,Asian/other,Violent,3.0,Juvenile
123,2017,Del Norte,Female,Asian/other,Violent,1.0,Juvenile
124,2017,El Dorado,Female,Asian/other,Violent,0.0,Juvenile
125,2017,Fresno,Female,Asian/other,Violent,2.0,Juvenile
126,2017,Glenn,Female,Asian/other,Violent,0.0,Juvenile
127,2017,Humboldt,Female,Asian/other,Violent,0.0,Juvenile
128,2017,Imperial,Female,Asian/other,Violent,1.0,Juvenile
129,2017,Inyo,Female,Asian/other,Violent,1.0,Juvenile
130,2017,Kern,Female,Asian/other,Violent,2.0,Juvenile
131,2017,Kings,Female,Asian/other,Violent,1.0,Juvenile
132,2017,Lake,Female,Asian/other,Violent,0.0,Juvenile
133,2017,Lassen,Female,Asian/other,Violent,0.0,Juvenile
134,2017,Los Angeles,Female,Asian/other,Violent,8.0,Juvenile
135,2017,Madera,Female,Asian/other,Violent,0.0,Juvenile
136,2017,Marin,Female,Asian/other,Violent,0.0,Juvenile
137,2017,Mariposa,Female,Asian/other,Violent,0.0,Juvenile
138,2017,Mendocino,Female,Asian/other,Violent,2.0,Juvenile
139,2017,Merced,Female,Asian/other,Violent,0.0,Juvenile
140,2017,Modoc,Female,Asian/other,Violent,0.0,Juvenile
141,2017,Mono,Female,Asian/other,Violent,0.0,Juvenile
142,2017,Monterey,Female,Asian/other,Violent,0.0,Juvenile
143,2017,Napa,Female,Asian/other,Violent,0.0,Juvenile
144,2017,Nevada,Female,Asian/other,Violent,0.0,Juvenile
145,2017,Orange,Female,Asian/other,Violent,5.0,Juvenile
146,2017,Placer,Female,Asian/other,Violent,1.0,Juvenile
147,2017,Plumas,Female,Asian/other,Violent,0.0,Juvenile
148,2017,Riverside,Female,Asian/other,Violent,0.0,Juvenile
149,2017,Sacramento,Female,Asian/other,Violent,4.0,Juvenile
150,2017,San Benito,Female,Asian/other,Violent,0.0,Juvenile
151,2017,San Bernard,Female,Asian/other,Violent,1.0,Juvenile
152,2017,San Diego,Female,Asian/other,Violent,8.0,Juvenile
153,2017,San Francis,Female,Asian/other,Violent,1.0447761194029852,Juvenile
154,2017,San Joaquin,Female,Asian/other,Violent,3.0,Juvenile
155,2017,San Luis Ob,Female,Asian/other,Violent,2.0,Juvenile
156,2017,San Mateo,Female,Asian/other,Violent,5.0,Juvenile
157,2017,Santa Barba,Female,Asian/other,Violent,0.0,Juvenile
158,2017,Santa Clara,Female,Asian/other,Violent,8.0,Juvenile
159,2017,Santa Cruz,Female,Asian/other,Violent,0.0,Juvenile
160,2017,Shasta,Female,Asian/other,Violent,0.0,Juvenile
161,2017,Sierra,Female,Asian/other,Violent,0.0,Juvenile
162,2017,Siskiyou,Female,Asian/other,Violent,0.0,Juvenile
163,2017,Solano,Female,Asian/other,Violent,2.0,Juvenile
164,2017,Sonoma,Female,Asian/other,Violent,1.0,Juvenile
165,2017,Stanislaus,Female,Asian/other,Violent,1.0,Juvenile
166,2017,Sutter,Female,Asian/other,Violent,0.0,Juvenile
167,2017,Tehama,Female,Asian/other,Violent,0.0,Juvenile
168,2017,Trinity,Female,Asian/other,Violent,0.0,Juvenile
169,2017,Tulare,Female,Asian/other,Violent,0.0,Juvenile
170,2017,Tuolumne,Female,Asian/other,Violent,0.0,Juvenile
171,2017,Ventura,Female,Asian/other,Violent,0.0,Juvenile
172,2017,Yolo,Female,Asian/other,Violent,0.0,Juvenile
173,2017,Yuba,Female,Asian/other,Violent,0.0,Juvenile
174,2017,Alameda,Female,White,Violent,3.0,Juvenile
175,2017,Alpine,Female,White,Violent,0.0,Juvenile
176,2017,Amador,Female,White,Violent,1.0,Juvenile
177,2017,Butte,Female,White,Violent,6.0,Juvenile
178,2017,Calaveras,Female,White,Violent,2.0,Juvenile
179,2017,Colusa,Female,White,Violent,0.0,Juvenile
180,2017,Contra Cost,Female,White,Violent,6.0,Juvenile
181,2017,Del Norte,Female,White,Violent,1.0,Juvenile
182,2017,El Dorado,Female,White,Violent,6.0,Juvenile
183,2017,Fresno,Female,White,Violent,2.0,Juvenile
184,2017,Glenn,Female,White,Violent,2.0,Juvenile
185,2017,Humboldt,Female,White,Violent,4.0,Juvenile
186,2017,Imperial,Female,White,Violent,0.0,Juvenile
187,2017,Inyo,Female,White,Violent,0.0,Juvenile
188,2017,Kern,Female,White,Violent,5.0,Juvenile
189,2017,Kings,Female,White,Violent,6.0,Juvenile
190,2017,Lake,Female,White,Violent,1.0,Juvenile
191,2017,Lassen,Female,White,Violent,0.0,Juvenile
192,2017,Los Angeles,Female,White,Violent,20.0,Juvenile
193,2017,Madera,Female,White,Violent,0.0,Juvenile
194,2017,Marin,Female,White,Violent,3.0,Juvenile
195,2017,Mariposa,Female,White,Violent,0.0,Juvenile
196,2017,Mendocino,Female,White,Violent,2.0,Juvenile
197,2017,Merced,Female,White,Violent,3.0,Juvenile
198,2017,Modoc,Female,White,Violent,0.0,Juvenile
199,2017,Mono,Female,White,Violent,0.0,Juvenile
200,2017,Monterey,Female,White,Violent,3.0,Juvenile
201,2017,Napa,Female,White,Violent,1.0,Juvenile
202,2017,Nevada,Female,White,Violent,3.0,Juvenile
203,2017,Orange,Female,White,Violent,10.0,Juvenile
204,2017,Placer,Female,White,Violent,2.0,Juvenile
205,2017,Plumas,Female,White,Violent,0.0,Juvenile
206,2017,Riverside,Female,White,Violent,2.0,Juvenile
207,2017,Sacramento,Female,White,Violent,12.0,Juvenile
208,2017,San Benito,Female,White,Violent,0.0,Juvenile
209,2017,San Bernard,Female,White,Violent,22.0,Juvenile
210,2017,San Diego,Female,White,Violent,42.0,Juvenile
211,2017,San Francis,Female,White,Violent,0.0,Juvenile
212,2017,San Joaquin,Female,White,Violent,10.0,Juvenile
213,2017,San Luis Ob,Female,White,Violent,3.0,Juvenile
214,2017,San Mateo,Female,White,Violent,1.0,Juvenile
215,2017,Santa Barba,Female,White,Violent,6.0,Juvenile
216,2017,Santa Clara,Female,White,Violent,7.0,Juvenile
217,2017,Santa Cruz,Female,White,Violent,1.0,Juvenile
218,2017,Shasta,Female,White,Violent,7.0,Juvenile
219,2017,Sierra,Female,White,Violent,0.0,Juvenile
220,2017,Siskiyou,Female,White,Violent,0.0,Juvenile
221,2017,Solano,Female,White,Violent,3.0,Juvenile
222,2017,Sonoma,Female,White,Violent,7.0,Juvenile
223,2017,Stanislaus,Female,White,Violent,9.0,Juvenile
224,2017,Sutter,Female,White,Violent,3.0,Juvenile
225,2017,Tehama,Female,White,Violent,1.0,Juvenile
226,2017,Trinity,Female,White,Violent,0.0,Juvenile
227,2017,Tulare,Female,White,Violent,1.0,Juvenile
228,2017,Tuolumne,Female,White,Violent,3.0,Juvenile
229,2017,Ventura,Female,White,Violent,7.0,Juvenile
230,2017,Yolo,Female,White,Violent,2.0,Juvenile
231,2017,Yuba,Female,White,Violent,1.0,Juvenile
232,2017,Alameda,Male,Black,Violent,170.0,Juvenile
233,2017,Alpine,Male,Black,Violent,0.0,Juvenile
234,2017,Amador,Male,Black,Violent,0.0,Juvenile
235,2017,Butte,Male,Black,Violent,7.0,Juvenile
236,2017,Calaveras,Male,Black,Violent,1.0,Juvenile
237,2017,Colusa,Male,Black,Violent,0.0,Juvenile
238,2017,Contra Cost,Male,Black,Violent,90.0,Juvenile
239,2017,Del Norte,Male,Black,Violent,0.0,Juvenile
240,2017,El Dorado,Male,Black,Violent,2.0,Juvenile
241,2017,Fresno,Male,Black,Violent,57.0,Juvenile
242,2017,Glenn,Male,Black,Violent,1.0,Juvenile
243,2017,Humboldt,Male,Black,Violent,1.0,Juvenile
244,2017,Imperial,Male,Black,Violent,1.0,Juvenile
245,2017,Inyo,Male,Black,Violent,0.0,Juvenile
246,2017,Kern,Male,Black,Violent,33.0,Juvenile
247,2017,Kings,Male,Black,Violent,6.0,Juvenile
248,2017,Lake,Male,Black,Violent,1.0,Juvenile
249,2017,Lassen,Male,Black,Violent,1.0,Juvenile
250,2017,Los Angeles,Male,Black,Violent,608.0,Juvenile
251,2017,Madera,Male,Black,Violent,0.0,Juvenile
252,2017,Marin,Male,Black,Violent,8.0,Juvenile
253,2017,Mariposa,Male,Black,Violent,0.0,Juvenile
254,2017,Mendocino,Male,Black,Violent,1.0,Juvenile
255,2017,Merced,Male,Black,Violent,11.0,Juvenile
256,2017,Modoc,Male,Black,Violent,0.0,Juvenile
257,2017,Mono,Male,Black,Violent,0.0,Juvenile
258,2017,Monterey,Male,Black,Violent,8.0,Juvenile
259,2017,Napa,Male,Black,Violent,2.0,Juvenile
260,2017,Nevada,Male,Black,Violent,2.0,Juvenile
261,2017,Orange,Male,Black,Violent,30.0,Juvenile
262,2017,Placer,Male,Black,Violent,11.0,Juvenile
263,2017,Plumas,Male,Black,Violent,0.0,Juvenile
264,2017,Riverside,Male,Black,Violent,61.0,Juvenile
265,2017,Sacramento,Male,Black,Violent,153.0,Juvenile
266,2017,San Benito,Male,Black,Violent,0.0,Juvenile
267,2017,San Bernard,Male,Black,Violent,203.0,Juvenile
268,2017,San Diego,Male,Black,Violent,109.0,Juvenile
269,2017,San Francis,Male,Black,Violent,18.59701492537313,Juvenile
270,2017,San Joaquin,Male,Black,Violent,92.0,Juvenile
271,2017,San Luis Ob,Male,Black,Violent,5.0,Juvenile
272,2017,San Mateo,Male,Black,Violent,20.0,Juvenile
273,2017,Santa Barba,Male,Black,Violent,6.0,Juvenile
274,2017,Santa Clara,Male,Black,Violent,41.0,Juvenile
275,2017,Santa Cruz,Male,Black,Violent,4.0,Juvenile
276,2017,Shasta,Male,Black,Violent,6.0,Juvenile
277,2017,Sierra,Male,Black,Violent,0.0,Juvenile
278,2017,Siskiyou,Male,Black,Violent,0.0,Juvenile
279,2017,Solano,Male,Black,Violent,62.0,Juvenile
280,2017,Sonoma,Male,Black,Violent,2.0,Juvenile
281,2017,Stanislaus,Male,Black,Violent,23.0,Juvenile
282,2017,Sutter,Male,Black,Violent,3.0,Juvenile
283,2017,Tehama,Male,Black,Violent,2.0,Juvenile
284,2017,Trinity,Male,Black,Violent,0.0,Juvenile
285,2017,Tulare,Male,Black,Violent,13.0,Juvenile
286,2017,Tuolumne,Male,Black,Violent,0.0,Juvenile
287,2017,Ventura,Male,Black,Violent,13.0,Juvenile
288,2017,Yolo,Male,Black,Violent,4.0,Juvenile
289,2017,Yuba,Male,Black,Violent,1.0,Juvenile
290,2017,Alameda,Male,Latinx,Violent,63.0,Juvenile
291,2017,Alpine,Male,Latinx,Violent,0.0,Juvenile
292,2017,Amador,Male,Latinx,Violent,0.0,Juvenile
293,2017,Butte,Male,Latinx,Violent,8.0,Juvenile
294,2017,Calaveras,Male,Latinx,Violent,4.0,Juvenile
295,2017,Colusa,Male,Latinx,Violent,1.0,Juvenile
296,2017,Contra Cost,Male,Latinx,Violent,42.0,Juvenile
297,2017,Del Norte,Male,Latinx,Violent,0.0,Juvenile
298,2017,El Dorado,Male,Latinx,Violent,4.0,Juvenile
299,2017,Fresno,Male,Latinx,Violent,160.0,Juvenile
300,2017,Glenn,Male,Latinx,Violent,2.0,Juvenile
301,2017,Humboldt,Male,Latinx,Violent,1.0,Juvenile
302,2017,Imperial,Male,Latinx,Violent,15.0,Juvenile
303,2017,Inyo,Male,Latinx,Violent,0.0,Juvenile
304,2017,Kern,Male,Latinx,Violent,60.0,Juvenile
305,2017,Kings,Male,Latinx,Violent,37.0,Juvenile
306,2017,Lake,Male,Latinx,Violent,1.0,Juvenile
307,2017,Lassen,Male,Latinx,Violent,0.0,Juvenile
308,2017,Los Angeles,Male,Latinx,Violent,897.0,Juvenile
309,2017,Madera,Male,Latinx,Violent,13.0,Juvenile
310,2017,Marin,Male,Latinx,Violent,24.0,Juvenile
311,2017,Mariposa,Male,Latinx,Violent,0.0,Juvenile
312,2017,Mendocino,Male,Latinx,Violent,9.0,Juvenile
313,2017,Merced,Male,Latinx,Violent,55.0,Juvenile
314,2017,Modoc,Male,Latinx,Violent,0.0,Juvenile
315,2017,Mono,Male,Latinx,Violent,0.0,Juvenile
316,2017,Monterey,Male,Latinx,Violent,64.0,Juvenile
317,2017,Napa,Male,Latinx,Violent,10.0,Juvenile
318,2017,Nevada,Male,Latinx,Violent,4.0,Juvenile
319,2017,Orange,Male,Latinx,Violent,264.0,Juvenile
320,2017,Placer,Male,Latinx,Violent,7.0,Juvenile
321,2017,Plumas,Male,Latinx,Violent,0.0,Juvenile
322,2017,Riverside,Male,Latinx,Violent,122.0,Juvenile
323,2017,Sacramento,Male,Latinx,Violent,67.0,Juvenile
324,2017,San Benito,Male,Latinx,Violent,7.0,Juvenile
325,2017,San Bernard,Male,Latinx,Violent,281.0,Juvenile
326,2017,San Diego,Male,Latinx,Violent,236.0,Juvenile
327,2017,San Francis,Male,Latinx,Violent,6.477611940298507,Juvenile
328,2017,San Joaquin,Male,Latinx,Violent,98.0,Juvenile
329,2017,San Luis Ob,Male,Latinx,Violent,5.0,Juvenile
330,2017,San Mateo,Male,Latinx,Violent,50.0,Juvenile
331,2017,Santa Barba,Male,Latinx,Violent,63.0,Juvenile
332,2017,Santa Clara,Male,Latinx,Violent,197.0,Juvenile
333,2017,Santa Cruz,Male,Latinx,Violent,32.0,Juvenile
334,2017,Shasta,Male,Latinx,Violent,3.0,Juvenile
335,2017,Sierra,Male,Latinx,Violent,0.0,Juvenile
336,2017,Siskiyou,Male,Latinx,Violent,2.0,Juvenile
337,2017,Solano,Male,Latinx,Violent,22.0,Juvenile
338,2017,Sonoma,Male,Latinx,Violent,38.0,Juvenile
339,2017,Stanislaus,Male,Latinx,Violent,94.0,Juvenile
340,2017,Sutter,Male,Latinx,Violent,6.0,Juvenile
341,2017,Tehama,Male,Latinx,Violent,3.0,Juvenile
