Year,County,Gender,Race,Offense_Category,Count,Age
2017,Alameda,Female,Black,Violent,53.0,Juvenile
2017,Alpine,Female,Black,Violent,0.0,Juvenile
2017,Amador,Female,Black,Violent,0.0,Juvenile
2017,Butte,Female,Black,Violent,0.0,Juvenile
2017,Calaveras,Female,Black,Violent,0.0,Juvenile
2017,Colusa,Female,Black,Violent,0.0,Juvenile
2017,Contra Cost,Female,Black,Violent,31.0,Juvenile
2017,Del Norte,Female,Black,Violent,0.0,Juvenile
2017,El Dorado,Female,Black,Violent,0.0,Juvenile
2017,Fresno,Female,Black,Violent,18.0,Juvenile
2017,Glenn,Female,Black,Violent,0.0,Juvenile
2017,Humboldt,Female,Black,Violent,0.0,Juvenile
2017,Imperial,Female,Black,Violent,0.0,Juvenile
2017,Inyo,Female,Black,Violent,0.0,Juvenile
2017,Kern,Female,Black,Violent,16.0,Juvenile
2017,Kings,Female,Black,Violent,3.0,Juvenile
2017,Lake,Female,Black,Violent,0.0,Juvenile
2017,Lassen,Female,Black,Violent,0.0,Juvenile
2017,Los Angeles,Female,Black,Violent,152.0,Juvenile
2017,Madera,Female,Black,Violent,0.0,Juvenile
2017,Marin,Female,Black,Violent,3.0,Juvenile
2017,Mariposa,Female,Black,Violent,0.0,Juvenile
2017,Mendocino,Female,Black,Violent,0.0,Juvenile
2017,Merced,Female,Black,Violent,3.0,Juvenile
2017,Modoc,Female,Black,Violent,0.0,Juvenile
2017,Mono,Female,Black,Violent,0.0,Juvenile
2017,Monterey,Female,Black,Violent,0.0,Juvenile
2017,Napa,Female,Black,Violent,1.0,Juvenile
2017,Nevada,Female,Black,Violent,3.0,Juvenile
2017,Orange,Female,Black,Violent,10.0,Juvenile
2017,Placer,Female,Black,Violent,2.0,Juvenile
2017,Plumas,Female,Black,Violent,0.0,Juvenile
2017,Riverside,Female,Black,Violent,11.0,Juvenile
2017,Sacramento,Female,Black,Violent,46.0,Juvenile
2017,San Benito,Female,Black,Violent,0.0,Juvenile
2017,San Bernard,Female,Black,Violent,54.0,Juvenile
2017,San Diego,Female,Black,Violent,24.0,Juvenile
2017,San Francis,Female,Black,Violent,8.358208955223882,Juvenile
2017,San Joaquin,Female,Black,Violent,22.0,Juvenile
2017,San Luis Ob,Female,Black,Violent,0.0,Juvenile
2017,San Mateo,Female,Black,Violent,5.0,Juvenile
2017,Santa Barba,Female,Black,Violent,2.0,Juvenile
2017,Santa Clara,Female,Black,Violent,5.0,Juvenile
2017,Santa Cruz,Female,Black,Violent,1.0,Juvenile
2017,Shasta,Female,Black,Violent,1.0,Juvenile
2017,Sierra,Female,Black,Violent,0.0,Juvenile
2017,Siskiyou,Female,Black,Violent,1.0,Juvenile
2017,Solano,Female,Black,Violent,17.0,Juvenile
2017,Sonoma,Female,Black,Violent,2.0,Juvenile
2017,Stanislaus,Female,Black,Violent,3.0,Juvenile
2017,Sutter,Female,Black,Violent,1.0,Juvenile
2017,Tehama,Female,Black,Violent,0.0,Juvenile
2017,Trinity,Female,Black,Violent,0.0,Juvenile
2017,Tulare,Female,Black,Violent,3.0,Juvenile
2017,Tuolumne,Female,Black,Violent,0.0,Juvenile
2017,Ventura,Female,Black,Violent,5.0,Juvenile
2017,Yolo,Female,Black,Violent,5.0,Juvenile
2017,Yuba,Female,Black,Violent,0.0,Juvenile
2017,Alameda,Female,Latinx,Violent,8.0,Juvenile
2017,Alpine,Female,Latinx,Violent,0.0,Juvenile
2017,Amador,Female,Latinx,Violent,0.0,Juvenile
2017,Butte,Female,Latinx,Violent,2.0,Juvenile
2017,Calaveras,Female,Latinx,Violent,0.0,Juvenile
2017,Colusa,Female,Latinx,Violent,0.0,Juvenile
2017,Contra Cost,Female,Latinx,Violent,5.0,Juvenile
2017,Del Norte,Female,Latinx,Violent,0.0,Juvenile
2017,El Dorado,Female,Latinx,Violent,3.0,Juvenile
2017,Fresno,Female,Latinx,Violent,32.0,Juvenile
2017,Glenn,Female,Latinx,Violent,1.0,Juvenile
2017,Humboldt,Female,Latinx,Violent,1.0,Juvenile
2017,Imperial,Female,Latinx,Violent,3.0,Juvenile
2017,Inyo,Female,Latinx,Violent,0.0,Juvenile
2017,Kern,Female,Latinx,Violent,9.0,Juvenile
2017,Kings,Female,Latinx,Violent,7.0,Juvenile
2017,Lake,Female,Latinx,Violent,1.0,Juvenile
2017,Lassen,Female,Latinx,Violent,0.0,Juvenile
2017,Los Angeles,Female,Latinx,Violent,171.0,Juvenile
2017,Madera,Female,Latinx,Violent,1.0,Juvenile
